! Data for the post committor state for various coupling strengths along the dominant vetical deexcitation pathway to eigenstae B
! Factor multiplying labmda, average energy, average Q_c, average Q_t, diabatic state 1 character, diabatic state 2 character, forward committor, energy of lowest eigenstate in system 


0.05 0.15465471894369009       -1.0156248722200159E-015  -4.7473200180718029        9.3641390112369442E-003  0.99063585945962596       0.86307296709361203     0.12368100881576538 0.15485307407583168 
0.1  0.15392629490916682        1.2519883738015160E-016  -4.1569838793354723        7.4313395885481331E-002  0.92568660285747062       0.78783458483169544     0.12367803603410721 0.15351579562306705 
0.15  0.15408774304944625       -5.4600594295946351E-015  -3.2979778360720351       0.16882194583073237       0.83117805140435363       0.74563941662631739    0.12367306649684906 0.15414699595604109 
0.2  0.15402668771808165        4.6389163788644366E-016  -3.0178705666536758       0.19963957121514095       0.80036042263291962       0.72972552797411427     0.12366608530282974 0.15294346954481611 
0.25  0.15435915163010161       -4.8642540426470166E-015  -2.8053925807866342       0.22301657547617709       0.77698342263089981       0.70827806866757292    0.12365707755088806 0.15261844263181043  
0.3  0.15460163686455794       -1.2490429869071284E-014  -2.4322902915057001       0.26406559715662825       0.73593440154645606       0.69470350583514229   0.1236460             0.15178162940828019 
0.35 0.15402040297534617        4.3522794198925428E-015  -3.1682119985085779       0.18309888520313122       0.81690111547520283       0.70571562909901786      0.12363286316394806 0.14897231652490894 
0.4  0.15188290194878240       -3.4925582588478687E-015  -4.0167075740227771        8.9746713027564540E-002  0.91025328283193363       0.71234584815157431      0.12361758947372437 
0.45  0.15252310472640879       -4.9503127173593054E-014  -2.9184991932805064       0.21057250006236944       0.78942750328116984       0.69005307344295463      0.12360014021396637
0.5  0.15206436295068734        2.9241063354405401E-015  -2.4433938213837996       0.26284397257212860       0.73715602530098956       0.67947802842662686     0.12358045578002930 0.14462890002058068 
0.55  0.15198382301225466        6.1619752711097828E-013  -2.3313365486179229       0.27517260661595827       0.72482739552379039       0.66773273233730834      0.12355848401784897 0.14490664256729621 
0.6  0.14889393709724658       -4.8731354021502840E-014  -2.6175878324354391       0.24367900347904634       0.75632099473662606       0.65113075027181522     0.12353413552045822 0.14084537292888794 
0.65  0.14544041992709186        7.0442936995477059E-015  -4.4690430281421962        3.9980398802557000E-002  0.96001960492370131       0.71766632278161857      0.12350733578205109 0.13830711022928049 
0.7  0.14505142913105645        1.2481701925199003E-014  -4.3862030484053811        4.9094527956167290E-002  0.95090547245418144       0.68868917111725603      0.12347797304391861 0.13846327445182904 
0.75  0.14379403474208605        2.3971265030409056E-015  -4.3928416831181165        4.8364129332531140E-002  0.95163587483890422       0.70512077379227311      0.12344592809677124 0.13615392453661013 
0.8  0.14233848704014596       -4.0604665649847267E-014  -4.4485821914024788        4.2231513285695112E-002  0.95776848749828203       0.76642617239693367      0.12341107428073883 0.13908188841962407 
0.85  0.14129164681443526        5.3878788307952851E-015  -4.4572422880465563        4.1278729052402374E-002  0.95872126626067200       0.69746198137560633    0.12337324768304825 0.13835991436110223 
0.9  0.14197409381405809       -6.2902089349361174E-014  -3.1995140592636773       0.17965500834620418       0.82034499910986436       0.61521691811357748      0.12333226203918457 0.13694995265161825 
0.95  0.14080116404911097       -1.5515122277759106E-014  -4.2851496623071412        6.0212490229312784E-002  0.93978751431690133       0.62809254652483171     0.12328789383172989 0.13691557783066405 
1.0  0.13862546274320267        2.3870469773860744E-015  -4.4428469327173952        4.2862510070153396E-002  0.95713747306545849       0.81907899383682448     0.12323989719152451 0.13655981329318670 
1.05  0.13759377502006431        1.2973000880248365E-014  -4.3974151810783360        4.7860944944620495E-002  0.95213905171081659       0.69825052265264520      0.12318794429302216 0.13527083556548072 
1.1  0.13635145541814225        1.1414332489211418E-013  -4.4411779842799959        4.3046136116460708E-002  0.95695386796082726       0.81667134025360943     0.12313167005777359 0.13430157322897071 
1.15  0.13653437907380039       -3.9400040382417843E-014  -4.3462992897409896        5.3484753961531725E-002  0.94651525027927819       0.64468266199868562      0.12307060509920120 0.13371811722624666 
1.2  0.13834783402513995       -3.5654838299392559E-014  -4.1423727114230582        7.5920936317189269E-002  0.92407905926034895       0.64408459384272321     0.12300416827201843 
1.25  0.13412737796333304        2.7248012650958381E-014  -4.1500931037133206        7.5071526750393969E-002  0.92492847301876080       0.63775583868544006     0.12293162941932678 0.13183641809212562 
1.3  0.13062877837721049        3.0555868109831479E-014  -4.3850215557780867        4.9224509860728981E-002  0.95077548470646911       0.86699715754613405     0.12285201251506805 0.12962443806486301 
1.35  0.13026806258581264        6.3986681984144557E-014  -4.2671596267975733        6.2191763102653765E-002  0.93780821654064772       0.77778434599084223      0.12276401370763779 0.12845932167879875 
1.4  0.12931220451756756       -5.2863689044111214E-013  -4.0347491075033055        8.7761759912101278E-002  0.91223823774206836       0.64358046520576617    0.12266579270362854 0.12780789068634835 
1.45  0.12741828472620881        2.1141216795538843E-013  -4.3131446533859021        5.7132476554153558E-002  0.94286752931172046       0.75674894200306531     0.12255463004112244 0.12704713880557278 
1.5  0.12638730320808381       -1.1130012666560902E-012  -4.1340076312864555        7.6841272182782694E-002  0.92315871921189718       0.69323332488265754    0.12242614477872849 0.12623832843742203 

