# Coupling strength   Reaction Rate (au^-1) for L to R thermal barrier crossing
0.05   1.3417374176003384E-016 
0.10   5.3474380232703830E-016 
0.15   1.2142686648584067E-015
0.20   2.2162636599607013E-015
0.25   3.6296727110424308E-015
0.30   5.6115426552065072E-015
0.35   8.4369072057645425E-015
0.4    1.2601979157396147E-014
0.45   1.9159830753062735E-014
0.5    3.0460212898074466E-014  
0.55   5.0608380528004489E-014
0.6    8.6027028672869378E-014
0.65   1.5527242147368246E-013
0.7    2.9489062433845693E-013
0.75   6.1712301488366717E-013
0.8    1.4819737576974034E-012
0.85   6.6387842005141841E-012
0.9    1.2129885923018619E-011
0.95   1.8548754328310374E-011
1.0    5.1598981214617265E-011
1.05   1.7688952982717335E-010
1.1    5.6688268815762176E-010
1.15   2.3219782699874296E-009
1.2    3.0611604566871468E-009
1.25   1.0551806591096686E-008
1.3    1.6107814441290786E-008
1.35   3.8657820007554068E-008
1.4    1.2201591391485069E-007
1.45   3.5560295004517056E-007
1.5    1.0845090472668243E-006
